Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items/2,3,0,60,57.20323633189158,48.016624998126645,63.15366699709557,36.0,0.05072040713917921,0.0,60,60,63,63,63,63,63,63,63,63,63
GET,/items/20,11,0,60,56.767518909923226,32.62154199910583,82.63229099975433,38.0,0.18597482617699043,0.0,60,63,68,68,77,83,83,83,83,83,83
GET,/items/21,8,0,61,60.163286374518066,23.051500000292435,79.51116699405247,38.0,0.1352544190378112,0.0,75,76,78,78,80,80,80,80,80,80,80
GET,/items/22,2,0,31.233999994583428,50.3966664946347,31.233999994583428,69.55933299468597,38.0,0.0338136047594528,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/items/23,5,0,46,55.367641801421996,29.281209004693665,78.90012500138255,37.0,0.08453401189863202,0.0,46,78,78,79,79,79,79,79,79,79,79
GET,/items/24,6,0,43,45.37399283435661,29.67966700089164,73.39108299493091,38.0,0.10144081427835842,0.0,47,47,49,49,73,73,73,73,73,73,73
GET,/items/25,4,0,60,60.15356275202066,28.139583999291062,78.03537500149105,38.0,0.0676272095189056,0.0,74,74,78,78,78,78,78,78,78,78,78
GET,/items/26,6,0,37,49.72149966609626,30.456540996965487,70.72291600343306,38.0,0.10144081427835842,0.0,61,61,63,63,71,71,71,71,71,71,71
GET,/items/27,4,0,39,45.53288549868739,37.456250000104774,65.76920899533434,38.0,0.0676272095189056,0.0,40,40,66,66,66,66,66,66,66,66,66
GET,/items/28,4,0,37,52.35202074618428,34.685458995227236,80.59566599695245,38.0,0.0676272095189056,0.0,57,57,81,81,81,81,81,81,81,81,81
GET,/items/29,8,0,44,56.352286499532056,30.6557919975603,104.39779199805344,37.0,0.1352544190378112,0.0,50,53,83,83,100,100,100,100,100,100,100
GET,/items/3,6,0,56,53.4506596668507,30.88887500052806,64.46520800091093,36.0,0.10144081427835842,0.0,56,56,58,58,64,64,64,64,64,64,64
GET,/items/30,2,0,26,38.99195850317483,25.605250004446134,52.37866700190352,38.0,0.0338136047594528,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/items/31,1,0,58.68666600144934,58.68666600144934,58.68666600144934,58.68666600144934,38.0,0.0169068023797264,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/items/32,4,0,48,61.21242699919094,45.44066599919461,75.87066700216383,38.0,0.0676272095189056,0.0,75,75,76,76,76,76,76,76,76,76,76
GET,/items/33,5,0,63,60.361816799559165,46.36562499945285,71.51195900223684,37.0,0.08453401189863202,0.0,63,71,71,72,72,72,72,72,72,72,72
GET,/items/34,6,0,41,49.86320850002812,28.528542003186885,79.74975000252016,38.0,0.10144081427835842,0.0,58,58,63,63,80,80,80,80,80,80,80
GET,/items/35,6,0,68,65.94275683285862,41.88891700323438,82.93041599972639,38.0,0.10144081427835842,0.0,71,71,77,77,83,83,83,83,83,83,83
GET,/items/36,1,0,62.66291700012516,62.66291700012516,62.66291700012516,62.66291700012516,37.0,0.0169068023797264,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/items/37,4,0,60,61.101520750526106,31.006000004708767,79.63775000098394,38.0,0.0676272095189056,0.0,74,74,80,80,80,80,80,80,80,80,80
GET,/items/38,1,0,33.139417006168514,33.139417006168514,33.139417006168514,33.139417006168514,38.0,0.0169068023797264,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/items/39,6,0,59,60.60697200033852,27.997582998068538,80.39075000124285,38.0,0.10144081427835842,0.0,65,65,72,72,80,80,80,80,80,80,80
GET,/items/4,8,0,37,46.24955712552037,29.27270800137194,83.60179099690868,36.0,0.1352544190378112,0.0,43,49,65,65,84,84,84,84,84,84,84
GET,/items/40,5,0,53,51.25510820071213,24.09474999876693,79.87112500268267,38.0,0.08453401189863202,0.0,53,58,58,80,80,80,80,80,80,80,80
GET,/items/41,6,0,43,52.67077800211458,28.82470900658518,76.84466700447956,38.0,0.10144081427835842,0.0,62,62,66,66,77,77,77,77,77,77,77
GET,/items/42,3,0,53,56.56231933244271,47.463832997891586,69.11762499657925,38.0,0.05072040713917921,0.0,53,53,69,69,69,69,69,69,69,69,69
GET,/items/43,3,0,67,58.18312533180384,35.9882499978994,71.96345899865264,38.0,0.05072040713917921,0.0,67,67,72,72,72,72,72,72,72,72,72
GET,/items/44,4,0,40,43.011489247874124,28.163540999230463,60.37712499528425,38.0,0.0676272095189056,0.0,43,43,60,60,60,60,60,60,60,60,60
GET,/items/45,6,0,47,51.5138753313901,26.89908399770502,70.83458399574738,38.0,0.10144081427835842,0.0,59,59,61,61,71,71,71,71,71,71,71
GET,/items/46,5,0,62,60.57286679861136,22.53920899966033,81.92837500246242,38.0,0.08453401189863202,0.0,62,77,77,82,82,82,82,82,82,82,82
GET,/items/47,7,0,58,57.035035713592414,24.3437500030268,79.20804199966369,38.0,0.11834761665808483,0.0,58,66,68,68,79,79,79,79,79,79,79
GET,/items/48,6,0,53,57.49525683252917,33.21883299940964,76.93516600556904,38.0,0.10144081427835842,0.0,64,64,71,71,77,77,77,77,77,77,77
GET,/items/49,4,0,38,42.074666500411695,36.56345800118288,51.46870799944736,38.0,0.0676272095189056,0.0,43,43,51,51,51,51,51,51,51,51,51
GET,/items/5,3,0,47,52.35858333374684,34.8991670034593,75.63416699849768,35.0,0.05072040713917921,0.0,47,47,76,76,76,76,76,76,76,76,76
GET,/items/50,8,0,73,66.41957800093223,32.424832999822684,79.89850000012666,38.0,0.1352544190378112,0.0,75,76,79,79,80,80,80,80,80,80,80
GET,/items/6,3,0,52,54.246166997472756,32.99854199576657,77.2439590000431,36.0,0.05072040713917921,0.0,52,52,77,77,77,77,77,77,77,77,77
GET,/items/7,4,0,61,59.78365625014703,49.750209000194445,65.33316599961836,36.0,0.0676272095189056,0.0,63,63,65,65,65,65,65,65,65,65,65
GET,/items/8,7,0,40,44.863892713952474,23.84037500451086,75.4523750001681,36.0,0.11834761665808483,0.0,40,41,63,63,75,75,75,75,75,75,75
GET,/items/9,3,0,61,58.222263995655034,33.94545799528714,79.94216699444223,36.0,0.05072040713917921,0.0,61,61,80,80,80,80,80,80,80,80,80
,Aggregated,659,0,81,95.01250993647626,22.53920899966033,303.4410830005072,429.55083459787556,11.141582768239699,0.0,81,110,120,130,150,200,260,290,300,300,300
